('The squirrel is smart.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The squirrel is smart.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The leopard is sleepy.', 'The leopard is sleepy.', True)
('The leopard is sleepy.', 'The leopard is sleepy.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The dog is furry.', 'The dog is is is is is is is is is is is is is is is i', False)
('The dog is furry.', 'The dog is is is is is is is is is is is is is is is i', False)
('The leopard chases the dog.', 'The leopard attacks the squirrel.', False)
('The leopard chases the dog.', 'The leopard attacks the squirrel.', False)
('The cat is round.', 'The cat is is is is round.', False)
('The cat is round.', 'The cat is is is is round.', False)
('The tiger is angry.', 'The tiger is angry.', True)
('The tiger is angry.', 'The tiger is angry.', True)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The mouse is cute.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is cute.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The tiger attacks the mouse.', 'The tiger attacks the mouse.', True)
('The tiger attacks the mouse.', 'The tiger attacks the mouse.', True)
('The cat is smart.', 'The cat is smart.', True)
('The cat is smart.', 'The cat is smart.', True)
('The snake is boring.', 'The snake is dull.', False)
('The snake is boring.', 'The snake is dull.', False)
('The crocodile is heavy.', 'The crocodile is strong.', False)
('The crocodile is heavy.', 'The crocodile is strong.', False)
('The mouse is funny.', 'The mouse is small.', False)
('The mouse is funny.', 'The mouse is small.', False)
('The snake visits the mouse.', 'The snake needs the cat.', False)
('The snake visits the mouse.', 'The snake needs the cat.', False)
('The hamster is round.', 'The hamster is is is is is is is is is is is is is i', False)
('The hamster is round.', 'The hamster is is is is is is is is is is is is is i', False)
('The snake is dull.', 'The snake is angry.', False)
('The snake is dull.', 'The snake is angry.', False)
('The bear is heavy.', 'The bear is heavy.', True)
('The bear is heavy.', 'The bear is heavy.', True)
('The squirrel is small.', 'The squirrel is is is is is small.', False)
('The squirrel is small.', 'The squirrel is is is is is is small.', False)
('The snake chases the squirrel.', 'The snake chases the squirrel.', True)
('The snake chases the squirrel.', 'The snake chases the squirrel.', True)
('The mouse is nice.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is nice.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The wolf is sleepy.', 'The wolf is dull.', False)
('The wolf is sleepy.', 'The wolf is sleepy.', True)
('The falcon is heavy.', 'The falcon is heavy.', True)
('The falcon is heavy.', 'The falcon is heavy.', True)
('The hamster is beautiful.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is beautiful.', 'The hamster is are are are are are are are are are are are are are', False)
('The wolf likes the hamster.', 'The wolf is likes the hamster.', False)
('The wolf likes the hamster.', 'The wolf is likes the hamster.', False)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The tiger is slow.', 'The tiger is slow.', True)
('The tiger is slow.', 'The tiger is slow.', True)
('The crocodile is obese.', 'The crocodile is big.', False)
('The crocodile is obese.', 'The crocodile is big.', False)
('The dog is lovely.', 'The dog is funny.', False)
('The dog is lovely.', 'The dog is funny.', False)
('The tiger attacks the dog.', 'The tiger attacks the dog.', True)
('The tiger attacks the dog.', 'The tiger attacks the dog.', True)
('The hamster is kind.', 'The hamster is is is is is is is is is is is is is i', False)
('The hamster is kind.', 'The hamster is is is is is is is is is is is is is i', False)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The cheetah is heavy.', 'The cheetah is heavy.', True)
('The cheetah is heavy.', 'The cheetah is heavy.', True)
('The squirrel is lovely.', 'The squirrel is adorable.', False)
('The squirrel is lovely.', 'The squirrel is adorable.', False)
('The wolf chases the squirrel.', 'The wolf chases the squirrel.', True)
('The wolf chases the squirrel.', 'The wolf chases the squirrel.', True)
('The cat is nice.', 'The cat is kind.', False)
('The cat is nice.', 'The cat is kind.', False)
('The cheetah is reckless.', 'The cheetah is sleepy.', False)
('The cheetah is reckless.', 'The cheetah is sleepy.', False)
('The lion is awful.', 'The lion is awful.', True)
('The lion is awful.', 'The lion is awful.', True)
('The squirrel is small.', 'The squirrel is is beautiful.', False)
('The squirrel is small.', 'The squirrel is is is beautiful.', False)
('The cheetah likes the squirrel.', 'The cheetah likes the squirrel.', True)
('The cheetah likes the squirrel.', 'The cheetah likes the squirrel.', True)
('The hamster is nice.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is nice.', 'The hamster is are are are are are are are are are are are are are', False)
('The falcon is angry.', 'The falcon is angry.', True)
('The falcon is angry.', 'The falcon is angry.', True)
('The cheetah is fierce.', 'The cheetah is fierce.', True)
('The cheetah is fierce.', 'The cheetah is fierce.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The falcon chases the mouse.', 'The falcon is awful.', False)
('The falcon chases the mouse.', 'The falcon is awful.', False)
('The hamster is quiet.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is quiet.', 'The hamster is are are are are are are are are are are are are are', False)
('The falcon is reckless.', 'The falcon is boring.', False)
('The falcon is reckless.', 'The falcon is boring.', False)
('The leopard is strong.', 'The leopard is strong.', True)
('The leopard is strong.', 'The leopard is strong.', True)
('The squirrel is cute.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The squirrel is cute.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The falcon sees the squirrel.', 'The falcon visits the hamster.', False)
('The falcon sees the squirrel.', 'The falcon visits the hamster.', False)
('The squirrel is nice.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The squirrel is nice.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The bear is slow.', 'The bear is slow.', True)
('The bear is slow.', 'The bear is slow.', True)
('The leopard is big.', 'The leopard is big.', True)
('The leopard is big.', 'The leopard is big.', True)
('The cat is adorable.', 'The cat is adorable.', True)
('The cat is adorable.', 'The cat is adorable.', True)
('The bear visits the cat.', 'The bear likes the squirrel.', False)
